FIPS,geoid,TotalResidentialAddresses,VacantResidentialAddresses,AverageDaysAddressesVacant,vac_36_res
19147,19147960100,1051,0,0,0
19037,19037070400,1865,136,1620.35,49
19017,19017004100,1671,28,1615.07,8
19187,19187010400,1552,0,0,0
19019,19019950600,2090,0,0,0
19159,19159950200,1571,54,4080.46,47
19169,19169000600,2161,40,1017.18,13
19153,19153010205,4727,36,898.14,3
19181,19181020500,1066,0,0,0
19153,19153010211,1975,3,2101.33,3
19077,19077950200,1212,0,0,0
19015,19015020400,1124,70,1175.6,24
19081,19081270300,1298,57,2747.72,39
19153,19153002100,1942,140,920.33,40
19153,19153004100,1515,30,1958.83,15
19059,19059451000,1842,0,0,0
19041,19041080400,1458,0,0,0
19059,19059450500,3509,120,1333.33,50
19035,19035080400,1053,0,0,0
19161,19161080200,1344,0,0,0
19087,19087970100,1764,2,1977,2
19115,19115450200,1687,25,1773.4,10
19045,19045000600,1694,145,1545.39,69
19031,19031450300,1795,99,1653.79,47
19113,19113000207,3813,157,1268.06,79
19103,19103001500,1319,32,1764.84,13
19011,19011960200,1450,0,0,0
19007,19007950400,1471,143,1684.85,82
19113,19113001200,1443,345,2543.5,297
19095,19095960300,1618,0,0,0
19113,19113001001,2114,64,949,17
19061,19061010300,1481,0,0,0
19061,19061010105,1932,1,2223,1
19113,19113010300,1768,0,0,0
19153,19153002600,1081,141,1228.5,64
19013,19013002303,497,72,750.43,12
19153,19153003902,2068,41,846.71,3
19155,19155030501,909,22,2153.18,19
19179,19179961000,1649,114,1368.66,44
19013,19013001000,1600,26,1147.15,11
19023,19023070400,1910,0,0,0
19179,19179960200,1300,179,1343.28,103
19013,19013001702,1139,45,1131.82,19
19153,19153003901,1516,42,1561.93,22
19169,19169010300,2314,59,1400.31,30
19123,19123950200,1503,0,0,0
19099,19099040500,2786,250,1656.96,157
19153,19153011027,3094,0,0,0
19153,19153010203,15610,0,0,0
19153,19153011300,11103,0,0,0
