"GEOID","TypicalRenterCosts","TypicalOwnerCosts","AgingHousingStock","AffordabilityIndex","HousingPriceDispersion","CostBurdenOwner","CostBurdenRenter","HomeOwnerShipRate","RentalUnitRatio","MultiFamShare"
19157,734,844,25.8,3.19920559537173,2.68969298245614,13.4,36.9,66.3,0.349431455219113,12.6
19159,636,777,33.9,2.83591828539879,3.44409448818898,11.5,49.7,74.9,0.269669017905589,3.5
19161,606,579,40.3,2.29042187217092,3.12655971479501,8.9,28.4,79.2,0.216390423572744,4.4
19163,812,1046,20.6,3.30459770114943,2.4762331838565,9.2,49.6,70.1,0.335972833904237,16.2
19165,701,766,39,2.88680012436919,2.34857849196539,10.9,44.3,74.9,0.256612712198974,5.1
19167,693,930,23.3,3.91740185030159,2.29668411867365,6.8,43.6,80.8,0.199127554729784,8.5
19169,921,1082,14.1,3.72732480427726,1.99415631848064,14.9,57.2,54.5,0.495723346579993,30.9
19171,729,782,42.1,2.61707043671219,2.50940860215054,14.1,50.4,76.1,0.261134204275534,8
19173,581,655,42.5,1.99700804977085,3.28397565922921,10.3,22.7,81.5,0.200233735878457,4.4
19175,610,729,36.3,2.59248746333617,2.59297218155198,14.6,42.4,72.3,0.29601846508944,9.1
19177,571,598,35.9,2.2274325908558,3.32509505703422,12,46.3,80.8,0.207477265072415,5.2
19179,767,747,32.5,2.17229209126609,2.86260869565217,12.9,50,67.7,0.364620938628159,9.1
19181,833,1228,11.6,3.47233289065958,2.20791366906475,13.4,45.4,80.4,0.206780538302277,15.5
19183,784,958,36.4,3.49170005724098,2.46191889218595,9.8,34.3,68.7,0.336300135196034,9.3
19185,543,601,35.2,1.94078068449562,3.20631578947368,12.6,29.9,80.5,0.207251908396947,7.3
19187,667,699,32.9,2.35615241838629,2.44892086330935,12.8,43.8,68.3,0.327266901634092,11.4
19189,617,670,28.1,2.34783033142969,2.05184174624829,14.5,38.9,77.8,0.267813809838959,9.3
19191,723,860,37.6,4.13853830349281,2.51185250219491,10.8,48.7,78,0.236297640653358,8.3
19193,802,829,31.5,3.01264254411124,2.29257142857143,10.5,44,67.4,0.353439769248286,16
19195,586,690,41.1,2.4574064769561,2.23481781376518,8.2,22.6,79.6,0.210690840887777,4.8
19197,644,572,36.9,2.12477172893737,2.28692699490662,7.2,35.7,73.1,0.291651737728413,7.7
