"","fmr0","fmr1","fmr2","fmr3","fmr4","State","county","Year"
"373",383,438,565,704,1001,19,"151","2013"
"374",503,605,750,1044,1112,19,"153","2013"
"375",493,659,828,1110,1233,19,"155","2013"
"376",414,489,611,803,851,19,"157","2013"
"377",383,458,565,709,857,19,"159","2013"
"378",338,423,565,731,755,19,"161","2013"
"379",448,555,711,959,1009,19,"163","2013"
"380",383,436,565,732,849,19,"165","2013"
"381",383,446,565,775,778,19,"167","2013"
"382",493,578,720,1019,1191,19,"169","2013"
"383",390,426,576,721,841,19,"171","2013"
"384",383,477,565,833,835,19,"173","2013"
"385",388,426,572,767,933,19,"175","2013"
"386",383,477,565,794,796,19,"177","2013"
"387",419,495,649,829,867,19,"179","2013"
"388",503,605,750,1044,1112,19,"181","2013"
"389",423,505,636,937,1070,19,"183","2013"
"390",383,418,565,833,835,19,"185","2013"
"391",455,458,565,803,838,19,"187","2013"
"392",383,449,565,833,864,19,"189","2013"
"393",415,418,565,739,1001,19,"191","2013"
"394",391,511,657,863,969,19,"193","2013"
"395",374,477,565,716,755,19,"195","2013"
"396",383,445,565,704,755,19,"197","2013"
"397",419,458,619,863,866,19,"1","2014"
"398",423,461,624,777,862,19,"3","2014"
"399",392,488,579,853,886,19,"5","2014"
"400",425,428,579,734,774,19,"7","2014"
"401",392,466,579,721,956,19,"9","2014"
"402",422,469,579,752,923,19,"11","2014"
"403",495,573,720,957,1275,19,"13","2014"
"404",374,464,628,823,975,19,"15","2014"
"405",446,480,650,888,892,19,"17","2014"
"406",432,435,579,750,939,19,"19","2014"
"407",413,480,610,768,888,19,"21","2014"
"408",392,488,579,853,884,19,"23","2014"
"409",392,443,579,784,787,19,"25","2014"
"410",458,461,579,721,827,19,"27","2014"
"411",386,474,579,784,834,19,"29","2014"
"412",430,469,635,822,896,19,"31","2014"
"413",396,492,666,871,890,19,"33","2014"
"414",392,434,579,721,774,19,"35","2014"
"415",392,470,579,853,856,19,"37","2014"
"416",434,474,641,798,1135,19,"39","2014"
"417",392,428,579,782,939,19,"41","2014"
"418",410,488,579,816,936,19,"43","2014"
"419",386,499,624,791,993,19,"45","2014"
"420",392,488,579,747,1025,19,"47","2014"
"421",525,631,783,1090,1161,19,"49","2014"
"422",421,499,622,775,859,19,"51","2014"
"423",432,454,579,853,1025,19,"53","2014"
"424",468,474,579,842,863,19,"55","2014"
"425",501,504,682,849,918,19,"57","2014"
"426",408,445,602,847,854,19,"59","2014"
"427",452,559,725,972,1129,19,"61","2014"
"428",418,489,617,780,852,19,"63","2014"
"429",361,487,579,744,783,19,"65","2014"
"430",392,448,579,816,818,19,"67","2014"
"431",425,428,579,808,990,19,"69","2014"
"432",392,470,579,805,883,19,"71","2014"
"433",400,436,590,735,1045,19,"73","2014"
"434",495,573,720,957,1275,19,"75","2014"
"435",525,631,783,1090,1161,19,"77","2014"
"436",442,482,652,812,1066,19,"79","2014"
"437",392,428,579,721,842,19,"81","2014"
"438",392,446,579,723,774,19,"83","2014"
"439",470,629,790,1059,1177,19,"85","2014"
"440",405,482,598,829,832,19,"87","2014"
"441",392,428,579,721,774,19,"89","2014"
"442",392,428,579,816,819,19,"91","2014"
"443",392,439,579,769,774,19,"93","2014"
"444",392,456,579,853,994,19,"95","2014"
"445",392,488,579,853,856,19,"97","2014"
"446",390,501,655,831,919,19,"99","2014"
"447",433,477,639,796,854,19,"101","2014"
"448",558,668,851,1254,1507,19,"103","2014"
"449",344,428,579,798,905,19,"105","2014"
"450",392,440,579,806,809,19,"107","2014"
"451",392,428,579,769,811,19,"109","2014"
"452",399,435,589,808,811,19,"111","2014"
"453",390,484,655,887,987,19,"113","2014"
"454",419,462,618,770,954,19,"115","2014"
"455",392,428,579,761,973,19,"117","2014"
"456",392,483,579,721,991,19,"119","2014"
"457",525,631,783,1090,1161,19,"121","2014"
"458",451,454,585,748,899,19,"123","2014"
"459",566,577,701,873,1242,19,"125","2014"
"460",438,508,625,807,888,19,"127","2014"
"461",470,629,790,1059,1177,19,"129","2014"
"462",392,488,579,853,856,19,"131","2014"
"463",392,428,579,773,776,19,"133","2014"
"464",401,438,592,737,818,19,"135","2014"
"465",425,428,579,842,845,19,"137","2014"
"466",483,527,713,978,1057,19,"139","2014"
"467",429,471,579,839,842,19,"141","2014"
"468",416,501,614,765,821,19,"143","2014"
"469",392,452,579,788,791,19,"145","2014"
